company_name,total_executions,completed,waiting,crashed,first_execution,last_execution,company_id,skill_count
Banco Guayaquil,6099301,5162028,653354,3743,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,155,306
BdP,3526577,2776242,663553,10567,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,11,132
Netlife,3286506,3022193,60492,1475,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,147,152
Interagua GEA,1661720,1505307,153488,539,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,85,97
Banco Internacional,1619494,1441853,172875,463,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,424,129
Deprati,896482,753435,132689,520,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,150,79
Security Data,693916,574417,118818,669,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,123,73
XTRIM,687164,678486,4739,230,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,1696,44
Falabella,649927,552085,85214,2783,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,2276,56
BCP Cobranza,530807,416211,111521,321,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,1974,63
Veris,458605,428141,24753,187,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,95,80
Mi Banco POC,442707,401072,30870,1246,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,2479,150
Banisi Chat,375051,370940,2531,173,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,692,60
Lotería Nacional EC,308610,258202,50238,14,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,2125,49
GEA Ecuador,290351,229973,49670,120,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,124,84
Piloto Creditia,235833,226414,8213,95,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,337,26
Arca PE,229295,222084,6646,122,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,362,35
UTPL Consultas,213207,182650,30182,186,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,125,50
ABInBev Colombia,192306,167258,24865,60,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,312,43
Pycca,183199,164165,17671,1278,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,54,33
Flexi,151683,138698,11949,81,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,1937,41
Muebles El Bosque,111397,110729,635,26,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,111,20
Solca,110246,91186,19011,49,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,1761,22
Dipaso,104469,76568,19390,53,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,110,21
Junta de Beneficencia,103998,74648,29267,82,2025-11-15T05:00:00.000Z,2026-01-18T05:00:00.000Z,288,8
